id,pred,Usage
S_507_509,-1,Ignored
S_507_511,-1,Ignored
S_507_512,-1,Ignored
S_507_521,-1,Ignored
S_507_536,-1,Ignored
S_507_538,-1,Ignored
S_507_549,-1,Ignored
S_507_553,-1,Ignored
S_507_556,-1,Ignored
S_507_559,-1,Ignored
S_507_562,-1,Ignored
S_507_569,-1,Ignored
S_507_570,-1,Ignored
S_507_577,-1,Ignored
S_507_580,-1,Ignored
S_507_592,0,Public
S_507_599,-1,Ignored
S_507_607,-1,Ignored
S_507_612,-1,Ignored
S_507_628,-1,Ignored
S_507_629,-1,Ignored
S_507_636,-1,Ignored
S_507_637,-1,Ignored
S_507_640,-1,Ignored
S_507_651,-1,Ignored
S_507_658,-1,Ignored
S_507_663,-1,Ignored
S_507_666,-1,Ignored
S_507_667,-1,Ignored
S_507_670,-1,Ignored
S_507_671,-1,Ignored
S_507_686,-1,Ignored
S_507_689,-1,Ignored
S_507_694,-1,Ignored
S_507_695,-1,Ignored
S_507_698,-1,Ignored
S_507_701,-1,Ignored
S_507_702,-1,Ignored
S_507_708,-1,Ignored
S_507_720,-1,Ignored
S_507_721,-1,Ignored
S_507_722,-1,Ignored
S_507_725,-1,Ignored
S_507_731,-1,Ignored
S_507_737,-1,Ignored
S_507_754,-1,Ignored
S_507_765,-1,Ignored
S_507_779,-1,Ignored
S_507_780,-1,Ignored
S_507_783,-1,Ignored
S_507_786,-1,Ignored
S_507_790,-1,Ignored
S_507_793,-1,Ignored
S_507_802,-1,Ignored
S_507_804,-1,Ignored
S_507_810,-1,Ignored
S_507_811,-1,Ignored
S_507_825,-1,Ignored
S_507_829,-1,Ignored
S_507_830,-1,Ignored
S_507_836,-1,Ignored
S_507_842,-1,Ignored
S_507_845,-1,Ignored
S_507_846,-1,Ignored
S_507_849,-1,Ignored
S_507_850,-1,Ignored
S_507_853,-1,Ignored
S_509_511,-1,Ignored
S_509_512,-1,Ignored
S_509_521,-1,Ignored
S_509_536,-1,Ignored
S_509_538,-1,Ignored
S_509_549,-1,Ignored
S_509_553,-1,Ignored
S_509_556,-1,Ignored
S_509_559,-1,Ignored
S_509_562,-1,Ignored
S_509_569,-1,Ignored
S_509_570,-1,Ignored
S_509_577,-1,Ignored
S_509_580,-1,Ignored
S_509_592,-1,Ignored
S_509_599,-1,Ignored
S_509_607,-1,Ignored
S_509_612,-1,Ignored
S_509_628,-1,Ignored
S_509_629,-1,Ignored
S_509_636,-1,Ignored
S_509_637,-1,Ignored
S_509_640,-1,Ignored
S_509_651,-1,Ignored
S_509_658,-1,Ignored
S_509_663,-1,Ignored
S_509_666,-1,Ignored
S_509_667,-1,Ignored
S_509_670,-1,Ignored
S_509_671,-1,Ignored
S_509_686,-1,Ignored
S_509_689,-1,Ignored
S_509_694,-1,Ignored
S_509_695,-1,Ignored
S_509_698,-1,Ignored
S_509_701,-1,Ignored
S_509_702,-1,Ignored
S_509_708,-1,Ignored
S_509_720,-1,Ignored
S_509_721,-1,Ignored
S_509_722,-1,Ignored
S_509_725,-1,Ignored
S_509_731,-1,Ignored
S_509_737,-1,Ignored
S_509_754,-1,Ignored
S_509_765,-1,Ignored
S_509_779,-1,Ignored
S_509_780,-1,Ignored
S_509_783,-1,Ignored
S_509_786,-1,Ignored
S_509_790,-1,Ignored
S_509_793,-1,Ignored
S_509_802,-1,Ignored
S_509_804,-1,Ignored
S_509_810,-1,Ignored
S_509_811,-1,Ignored
S_509_825,-1,Ignored
S_509_829,-1,Ignored
S_509_830,-1,Ignored
S_509_836,-1,Ignored
S_509_842,-1,Ignored
S_509_845,-1,Ignored
S_509_846,-1,Ignored
S_509_849,0,Public
S_509_850,-1,Ignored
S_509_853,-1,Ignored
S_511_512,-1,Ignored
S_511_521,-1,Ignored
S_511_536,-1,Ignored
S_511_538,-1,Ignored
S_511_549,-1,Ignored
S_511_553,-1,Ignored
S_511_556,-1,Ignored
S_511_559,-1,Ignored
S_511_562,-1,Ignored
S_511_569,-1,Ignored
S_511_570,-1,Ignored
S_511_577,-1,Ignored
S_511_580,-1,Ignored
S_511_592,-1,Ignored
S_511_599,-1,Ignored
S_511_607,1,Public
S_511_612,-1,Ignored
S_511_628,-1,Ignored
S_511_629,-1,Ignored
S_511_636,-1,Ignored
S_511_637,-1,Ignored
S_511_640,-1,Ignored
